start_id,relation,end_name
Henri Moissan,IS_MEMBER_OF,National Academy of Sciences
Henri Moissan,IS_MEMBER_OF,French Academy of Sciences
Henri Moissan,IS_MEMBER_OF,Royal Society
Henri Moissan,IS_MEMBER_OF,Russian Academy of Sciences
Jacobus Henricus van 't Hoff,RECEIVED,Q102822_1901
Q102822_1901,IS_INSTANCE_OF,Nobel Prize in Chemistry
Jacobus Henricus van 't Hoff,IS_CITIZEN_OF,Kingdom of the Netherlands
Jacobus Henricus van 't Hoff,WORKS_AS,professor
Jacobus Henricus van 't Hoff,WORKS_AS,engineer
Jacobus Henricus van 't Hoff,WORKS_AS,stereochemist
Jacobus Henricus van 't Hoff,WORKS_AS,university teacher
Jacobus Henricus van 't Hoff,WORKS_AS,chemist
Jacobus Henricus van 't Hoff,WORKS_AS,geologist
Jacobus Henricus van 't Hoff,WORKS_AS,physicist
Jacobus Henricus van 't Hoff,WORKS_IN_FIELD,organic chemistry
Jacobus Henricus van 't Hoff,WORKS_IN_FIELD,physical chemistry
Jacobus Henricus van 't Hoff,EDUCATED_AT,Leiden University
Jacobus Henricus van 't Hoff,EDUCATED_AT,University of Paris
Jacobus Henricus van 't Hoff,EDUCATED_AT,Utrecht University
Jacobus Henricus van 't Hoff,EDUCATED_AT,Delft University of Technology
Jacobus Henricus van 't Hoff,EDUCATED_AT,University of Bonn
Jacobus Henricus van 't Hoff,EMPLOYED_BY,Utrecht University
Jacobus Henricus van 't Hoff,EMPLOYED_BY,Frederick William University Berlin
Jacobus Henricus van 't Hoff,EMPLOYED_BY,Humboldt-Universität zu Berlin
Jacobus Henricus van 't Hoff,EMPLOYED_BY,University of Amsterdam
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,National Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,French Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Royal Society
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Russian Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Hungarian Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Royal Swedish Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,American Academy of Arts and Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Royal Prussian Academy of Sciences
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Royal Physiographic Society in Lund
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Academy of Sciences of Turin
Jacobus Henricus van 't Hoff,IS_MEMBER_OF,Saint Petersburg Academy of Sciences
Frederick Soddy,RECEIVED,Q102830_1921
Q102830_1921,IS_INSTANCE_OF,Nobel Prize in Chemistry
Frederick Soddy,IS_CITIZEN_OF,United Kingdom
Frederick Soddy,WORKS_AS,researcher
Frederick Soddy,WORKS_AS,chemist
Frederick Soddy,WORKS_AS,physicist
Frederick Soddy,WORKS_AS,professor
Frederick Soddy,WORKS_AS,pharmacist
Frederick Soddy,WORKS_IN_FIELD,radiochemistry
Frederick Soddy,EDUCATED_AT,Merton College
Frederick Soddy,EDUCATED_AT,Aberystwyth University
Frederick Soddy,EDUCATED_AT,Eastbourne College
Frederick Soddy,EMPLOYED_BY,University of Oxford
Frederick Soddy,EMPLOYED_BY,McGill University
Frederick Soddy,EMPLOYED_BY,University of Aberdeen
Frederick Soddy,IS_MEMBER_OF,Academy of Sciences of the USSR
Frederick Soddy,IS_MEMBER_OF,Royal Swedish Academy of Sciences
Frederick Soddy,IS_MEMBER_OF,Royal Society
Frederick Soddy,IS_MEMBER_OF,Russian Academy of Sciences
Peter Debye,RECEIVED,Q103835_1936
Q103835_1936,IS_INSTANCE_OF,Nobel Prize in Chemistry
Peter Debye,IS_CITIZEN_OF,United States
Peter Debye,IS_CITIZEN_OF,Kingdom of the Netherlands
Peter Debye,WORKS_AS,crystallographer
Peter Debye,WORKS_AS,university teacher
Peter Debye,WORKS_AS,chemist
Peter Debye,WORKS_AS,physicist
Peter Debye,WORKS_AS,professor
Peter Debye,WORKS_AS,engineer
Peter Debye,WORKS_AS,scientist
Peter Debye,WORKS_AS,theoretical physicist
Peter Debye,WORKS_IN_FIELD,physics
Peter Debye,WORKS_IN_FIELD,physical chemistry
Peter Debye,WORKS_IN_FIELD,X-ray
Peter Debye,WORKS_IN_FIELD,theoretical chemistry
Peter Debye,EDUCATED_AT,Ludwig-Maximilians-Universität München
Peter Debye,EDUCATED_AT,RWTH Aachen University
Peter Debye,EDUCATED_AT,ETH Zurich
Peter Debye,EMPLOYED_BY,ETH Zurich
Peter Debye,EMPLOYED_BY,Cornell University
Peter Debye,EMPLOYED_BY,Humboldt-Universität zu Berlin
Peter Debye,EMPLOYED_BY,Ludwig-Maximilians-Universität München
Peter Debye,EMPLOYED_BY,Leipzig University
Peter Debye,EMPLOYED_BY,University of Göttingen
Peter Debye,EMPLOYED_BY,University of Zurich
Peter Debye,EMPLOYED_BY,Utrecht University
Peter Debye,EMPLOYED_BY,Kaiser Wilhelm Institute for Physics
Peter Debye,IS_MEMBER_OF,Russian Academy of Sciences
